,gameResult,oChamp1,oChamp2,oChamp3,oChamp4,oChamp5,eChamp1,eChamp2,eChamp3,eChamp4,eChamp5
130,1,84,31,14,28,2,0,40,98,2,35
131,0,25,22,10,9,3,4,10,17,38,26
132,1,5,42,75,3,7,53,5,2,28,35
133,0,0,22,21,72,18,77,18,73,78,35
134,0,67,22,45,26,27,47,9,22,13,5
135,1,78,4,65,3,39,38,18,42,13,34
136,0,5,19,43,40,45,0,20,36,13,14
137,0,8,19,40,3,39,22,9,22,28,6
138,1,44,10,36,12,28,23,15,98,2,48
139,0,42,20,75,29,39,37,20,77,2,24
140,0,33,11,52,3,2,53,20,74,27,14
141,1,0,20,81,80,2,13,28,37,69,35
142,0,0,10,75,29,29,47,7,62,2,5
143,1,23,10,36,12,26,77,18,42,2,5
144,0,42,7,70,29,39,77,5,90,2,30
145,0,0,22,98,29,39,4,28,45,40,48
146,1,42,35,43,12,45,30,9,17,40,14
147,0,25,20,43,72,37,0,9,22,28,43
148,1,55,10,75,26,2,53,20,17,13,26
149,1,84,6,45,58,25,53,18,98,69,5
150,0,23,7,45,7,20,16,9,74,13,48
151,1,85,46,89,12,12,39,2,74,2,35
152,0,62,4,21,3,39,77,18,12,13,5
153,1,27,42,74,58,12,2,8,91,13,48
154,0,47,10,16,42,28,77,3,91,60,35
155,1,19,10,75,40,45,21,17,14,2,43
156,1,84,31,14,28,2,0,40,98,2,35
157,1,84,29,43,12,37,39,40,2,28,35
158,1,19,10,74,12,28,56,18,42,78,48
159,1,62,20,43,3,3,31,9,22,68,35
160,0,55,10,43,12,45,53,20,36,2,43
161,1,16,22,65,29,29,35,4,39,13,1
162,1,42,35,43,12,45,30,9,17,40,14
163,0,62,39,31,40,28,52,28,10,2,26
164,0,26,20,98,3,22,58,8,40,13,5
165,1,0,19,34,29,39,48,36,26,13,48
166,0,23,7,45,7,20,16,9,74,13,48
167,1,27,4,81,3,32,53,7,44,39,34
168,1,0,22,93,28,29,1,9,74,2,5
169,0,57,9,52,12,45,77,4,74,70,19
170,1,84,10,75,29,20,48,20,30,2,14
171,0,16,10,43,12,45,46,20,59,2,43
172,1,27,42,74,12,25,37,18,91,83,32
173,1,55,20,45,63,28,69,14,59,2,5
174,0,45,17,75,3,0,77,4,22,28,35
175,0,62,22,62,29,39,0,16,73,39,34
176,1,84,42,57,63,26,47,8,31,13,35
177,0,42,20,16,28,3,24,9,22,13,14
178,0,29,22,60,12,12,21,9,17,2,26
179,1,42,35,43,12,45,30,9,17,40,14
180,0,62,39,31,40,28,52,28,10,2,26
181,0,26,20,98,3,22,58,8,40,13,5
182,1,0,19,34,29,39,48,36,26,13,48
183,0,23,7,45,7,20,16,9,74,13,48
184,1,27,4,81,3,32,53,7,44,39,34
185,1,0,22,93,28,29,1,9,74,2,5
186,0,84,42,81,12,12,31,18,98,28,26
187,1,16,16,75,3,0,25,9,73,13,35
188,1,23,39,45,72,12,77,18,17,39,34
189,0,25,22,98,3,39,53,4,31,25,34
190,1,62,22,95,62,40,23,15,42,39,34
191,0,67,10,98,21,3,73,36,44,28,43
192,0,5,20,43,80,28,0,20,98,13,48
193,1,25,20,75,39,28,23,15,42,2,5
194,1,72,10,36,30,28,23,18,22,13,48
195,1,16,42,16,63,39,47,18,98,13,48
196,1,27,22,63,12,20,75,42,56,2,48
197,0,27,5,81,64,28,79,20,22,2,35
198,0,66,10,46,12,39,75,42,73,2,14
199,0,0,10,81,26,39,13,18,98,13,48
200,0,44,31,93,7,25,35,36,8,22,35
201,0,51,42,75,12,45,49,4,28,65,5
202,0,72,31,30,29,39,77,9,81,2,41
203,0,30,4,60,40,45,13,18,43,2,35
204,1,84,42,74,12,12,22,20,42,69,34
205,1,62,4,74,80,29,39,18,62,8,43
206,0,55,4,36,72,28,77,12,81,13,48
207,0,84,42,43,28,12,58,36,48,26,43
208,0,67,11,58,2,25,24,4,9,2,28
209,0,65,20,70,28,14,23,10,68,17,34
210,1,22,11,74,27,39,77,20,2,2,14
211,0,27,22,44,12,3,0,9,5,79,43
212,0,0,4,60,12,12,57,10,31,65,12
213,1,56,42,75,29,39,35,10,2,69,48
214,1,15,42,98,12,32,15,17,48,31,34
215,0,0,4,63,12,12,13,36,59,2,43
216,0,45,22,45,12,38,77,4,74,28,26
217,1,84,19,21,2,28,22,4,98,27,31
218,0,47,22,63,12,20,77,28,91,12,34
219,0,84,42,14,38,47,53,36,59,2,34
220,0,62,10,14,73,2,15,40,44,2,26
221,0,42,25,43,12,12,0,18,73,2,26
222,1,45,43,59,38,2,0,23,22,2,31
223,0,35,10,2,12,45,9,4,73,40,35
224,1,84,10,8,3,28,75,18,44,8,14
225,1,14,20,0,1,5,35,5,31,3,43
226,0,84,42,43,28,12,58,36,48,26,43
227,0,67,19,81,12,28,17,18,73,2,48
228,0,23,31,44,29,39,77,9,18,60,5
229,1,84,25,74,28,29,19,9,81,2,43
230,1,52,20,7,80,9,76,4,62,38,6
231,0,16,10,81,29,20,22,7,44,8,43
232,0,0,22,21,72,18,77,18,73,78,35
233,0,67,22,45,26,27,47,9,22,13,5
234,1,27,25,34,3,39,77,40,12,13,37
235,0,57,6,60,40,45,77,18,91,13,14
236,1,55,5,60,80,29,23,23,12,69,11
237,0,27,20,75,12,39,77,28,81,8,6
238,0,84,10,98,72,39,19,4,44,57,26
239,0,55,20,75,39,28,13,28,98,13,14
240,1,72,35,75,29,39,38,5,59,13,1
241,0,62,4,2,40,15,14,10,48,2,43
242,0,68,31,81,12,14,15,15,10,2,24
243,1,67,22,81,12,23,77,4,95,27,43
244,0,44,19,81,40,45,77,36,28,2,35
245,1,55,4,36,72,28,77,12,81,13,48
246,0,84,42,43,28,12,58,36,48,26,43
247,1,81,46,75,3,2,63,9,81,13,14
248,1,84,20,43,3,29,23,10,43,27,16
249,1,26,10,74,3,12,12,18,14,40,26
250,0,84,25,74,28,29,19,9,81,2,43
251,1,0,39,34,3,39,16,28,15,3,34
252,1,19,6,50,12,45,63,5,62,11,43
253,0,27,16,95,73,15,58,17,81,13,24
254,1,57,19,98,28,11,23,4,80,40,35
255,0,23,13,81,40,29,77,4,98,2,43
256,1,27,16,57,12,45,48,17,42,28,35
257,1,62,20,1,12,12,77,20,73,40,35
258,1,62,17,98,3,28,77,4,44,13,48
259,1,84,10,74,10,17,53,40,17,70,48
260,1,45,10,16,22,14,9,31,74,13,41
261,0,55,7,45,3,39,23,14,74,13,5
262,1,0,10,81,56,28,53,20,14,27,5
263,0,67,22,17,1,2,77,18,73,27,26
